deviation_factor,midpoint
1.26,"(33, 14)"
1.26,"(33, 34)"
1.26,"(34, 14)"
1.26,"(34, 34)"
1.26,"(35, 14)"
1.26,"(35, 34)"
1.3,"(5, 35)"
1.3,"(6, 35)"
1.3,"(7, 35)"
1.3,"(8, 35)"
1.3,"(9, 35)"
1.3,"(10, 13)"
1.3,"(11, 13)"
1.3,"(12, 13)"
1.3,"(13, 13)"
1.3,"(14, 13)"
1.3,"(15, 35)"
1.3,"(16, 35)"
1.3,"(17, 35)"
1.3,"(18, 35)"
1.3,"(19, 35)"
1.3,"(20, 13)"
1.3,"(21, 13)"
1.3,"(22, 13)"
1.3,"(23, 13)"
1.3,"(24, 13)"
1.3,"(25, 35)"
1.3,"(26, 35)"
1.3,"(27, 35)"
1.3,"(28, 35)"
1.3,"(29, 35)"
1.3,"(30, 13)"
1.3,"(31, 13)"
1.3,"(32, 13)"
1.3,"(33, 13)"
1.3,"(34, 13)"
1.3,"(35, 13)"
1.3,"(35, 35)"
1.34,"(5, 36)"
1.34,"(6, 36)"
1.34,"(7, 36)"
1.34,"(8, 36)"
1.34,"(9, 36)"
1.34,"(10, 12)"
1.34,"(11, 12)"
1.34,"(12, 12)"
1.34,"(13, 12)"
1.34,"(14, 12)"
1.34,"(15, 36)"
1.34,"(16, 36)"
1.34,"(17, 36)"
1.34,"(18, 36)"
1.34,"(19, 36)"
1.34,"(20, 12)"
1.34,"(21, 12)"
1.34,"(22, 12)"
1.34,"(23, 12)"
1.34,"(24, 12)"
1.34,"(25, 36)"
1.34,"(26, 36)"
1.34,"(27, 36)"
1.34,"(28, 36)"
1.34,"(29, 36)"
1.34,"(30, 12)"
1.34,"(31, 12)"
1.34,"(32, 12)"
1.34,"(33, 12)"
1.34,"(34, 12)"
1.34,"(35, 12)"
1.34,"(35, 36)"
1.38,"(5, 37)"
1.38,"(6, 37)"
1.38,"(7, 37)"
1.38,"(8, 37)"
1.38,"(9, 37)"
1.38,"(10, 11)"
1.38,"(11, 11)"
1.38,"(12, 11)"
1.38,"(13, 11)"
1.38,"(14, 11)"
1.38,"(15, 37)"
1.38,"(16, 37)"
1.38,"(17, 37)"
1.38,"(18, 37)"
1.38,"(19, 37)"
1.38,"(20, 11)"
1.38,"(21, 11)"
1.38,"(22, 11)"
1.38,"(23, 11)"
1.38,"(24, 11)"
1.38,"(25, 37)"
1.38,"(26, 37)"
1.38,"(27, 37)"
1.38,"(28, 37)"
1.38,"(29, 37)"
1.38,"(30, 11)"
1.38,"(31, 11)"
1.38,"(32, 11)"
1.38,"(33, 11)"
1.38,"(34, 11)"
1.38,"(35, 11)"
1.38,"(35, 37)"
1.43,"(5, 38)"
1.43,"(6, 38)"
1.43,"(7, 38)"
1.43,"(8, 38)"
1.43,"(9, 38)"
1.43,"(10, 10)"
1.43,"(11, 10)"
1.43,"(12, 10)"
1.43,"(13, 10)"
1.43,"(14, 10)"
1.43,"(15, 38)"
1.43,"(16, 38)"
1.43,"(17, 38)"
1.43,"(18, 38)"
1.43,"(19, 38)"
1.43,"(20, 10)"
1.43,"(21, 10)"
1.43,"(22, 10)"
1.43,"(23, 10)"
1.43,"(24, 10)"
1.43,"(25, 38)"
1.43,"(26, 38)"
1.43,"(27, 38)"
1.43,"(28, 38)"
1.43,"(29, 38)"
1.43,"(30, 10)"
1.43,"(31, 10)"
1.43,"(32, 10)"
1.43,"(33, 10)"
1.43,"(34, 10)"
1.43,"(35, 10)"
1.43,"(35, 38)"
1.47,"(5, 9)"
1.47,"(5, 39)"
1.47,"(6, 9)"
1.47,"(6, 39)"
1.47,"(7, 9)"
1.47,"(7, 39)"
1.47,"(8, 9)"
1.47,"(8, 39)"
1.47,"(9, 9)"
1.47,"(9, 39)"
1.47,"(10, 9)"
1.47,"(10, 39)"
1.47,"(11, 9)"
1.47,"(11, 39)"
1.47,"(12, 9)"
1.47,"(12, 39)"
1.47,"(13, 9)"
1.47,"(13, 39)"
1.47,"(14, 9)"
1.47,"(14, 39)"
1.47,"(15, 9)"
1.47,"(15, 39)"
1.47,"(16, 9)"
